Date : 2020-12-10 17:43:17
Directory : c:\Repos\rayex\include
Total : 553 files,  100227 codes, 39641 comments, 20303 blanks, all 160171 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        552 |     99,774 |     39,641 |     20,262 |    159,677 |
| CMake    |          1 |        453 |          0 |         41 |        494 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |        553 |    100,227 |     39,641 |     20,303 |    160,171 |
| api                                                                        |         22 |        878 |        492 |        369 |      1,739 |
| api\buffers                                                                |          4 |        235 |         73 |         81 |        389 |
| api\image                                                                  |          3 |         52 |         20 |         24 |         96 |
| api\pathtrace                                                              |          2 |        113 |         41 |         42 |        196 |
| api\utility                                                                |          4 |        127 |        206 |         74 |        407 |
| base                                                                       |          7 |        312 |        235 |        160 |        707 |
| external                                                                   |        521 |     98,935 |     38,870 |     19,744 |    157,549 |
| external\ImGui                                                             |          8 |      8,119 |      2,730 |      1,331 |     12,180 |
| external\glm                                                               |        419 |     39,762 |     12,909 |     10,108 |     62,779 |
| external\glm\detail                                                        |         61 |     16,884 |      1,101 |      3,025 |     21,010 |
| external\glm\ext                                                           |        163 |      3,828 |      3,774 |      1,596 |      9,198 |
| external\glm\gtc                                                           |         38 |      5,304 |      3,366 |      2,088 |     10,758 |
| external\glm\gtx                                                           |        124 |     10,614 |      3,036 |      2,640 |     16,290 |
| external\glm\simd                                                          |         10 |      1,419 |        383 |        313 |      2,115 |
| external\gltf                                                              |          2 |     17,988 |      8,157 |      2,960 |     29,105 |
| external\ktx                                                               |          2 |        603 |        890 |        151 |      1,644 |
| external\sdl2                                                              |         86 |     22,769 |     12,193 |      3,706 |     38,668 |
| external\stb                                                               |          2 |      7,408 |      1,513 |        988 |      9,909 |
| external\tinyLogger                                                        |          1 |        178 |         25 |         48 |        251 |
| external\tinyObj                                                           |          1 |      2,108 |        453 |        452 |      3,013 |
| pch                                                                        |          1 |         34 |          1 |          4 |         39 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                   | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Repos\rayex\include\Core.hpp                                            | C++      |         43 |          5 |         13 |         61 |
| c:\Repos\rayex\include\Rayex.hpp                                           | C++      |         25 |         38 |         13 |         76 |
| c:\Repos\rayex\include\api\Api.hpp                                         | C++      |         63 |         20 |         24 |        107 |
| c:\Repos\rayex\include\api\Bindings.hpp                                    | C++      |         37 |         56 |         20 |        113 |
| c:\Repos\rayex\include\api\Components.hpp                                  | C++      |         29 |          0 |          8 |         37 |
| c:\Repos\rayex\include\api\PostProcessingRenderer.hpp                      | C++      |         30 |          5 |         17 |         52 |
| c:\Repos\rayex\include\api\RenderPass.hpp                                  | C++      |         17 |         15 |          8 |         40 |
| c:\Repos\rayex\include\api\Surface.hpp                                     | C++      |         32 |         14 |         16 |         62 |
| c:\Repos\rayex\include\api\Swapchain.hpp                                   | C++      |         39 |         32 |         25 |         96 |
| c:\Repos\rayex\include\api\Sync.hpp                                        | C++      |         38 |          1 |         12 |         51 |
| c:\Repos\rayex\include\api\Vertex.hpp                                      | C++      |         66 |          9 |         18 |         93 |
| c:\Repos\rayex\include\api\buffers\Buffer.hpp                              | C++      |         65 |         31 |         26 |        122 |
| c:\Repos\rayex\include\api\buffers\CommandBuffer.hpp                       | C++      |         23 |         16 |         14 |         53 |
| c:\Repos\rayex\include\api\buffers\StorageBuffer.hpp                       | C++      |         99 |         15 |         28 |        142 |
| c:\Repos\rayex\include\api\buffers\UniformBuffer.hpp                       | C++      |         48 |         11 |         13 |         72 |
| c:\Repos\rayex\include\api\image\Cubemap.hpp                               | C++      |         15 |          4 |          6 |         25 |
| c:\Repos\rayex\include\api\image\Image.hpp                                 | C++      |         22 |         12 |         11 |         45 |
| c:\Repos\rayex\include\api\image\Texture.hpp                               | C++      |         15 |          4 |          7 |         26 |
| c:\Repos\rayex\include\api\pathtrace\AccelerationStructure.hpp             | C++      |         40 |          9 |          9 |         58 |
| c:\Repos\rayex\include\api\pathtrace\PathTracer.hpp                        | C++      |         73 |         32 |         33 |        138 |
| c:\Repos\rayex\include\api\utility\DebugMessenger.hpp                      | C++      |         23 |         11 |         10 |         44 |
| c:\Repos\rayex\include\api\utility\Helpers.hpp                             | C++      |         35 |         80 |         23 |        138 |
| c:\Repos\rayex\include\api\utility\Initializers.hpp                        | C++      |         37 |        108 |         30 |        175 |
| c:\Repos\rayex\include\api\utility\Util.hpp                                | C++      |         32 |          7 |         11 |         50 |
| c:\Repos\rayex\include\base\Camera.hpp                                     | C++      |         49 |         42 |         29 |        120 |
| c:\Repos\rayex\include\base\Geometry.hpp                                   | C++      |         41 |         28 |         13 |         82 |
| c:\Repos\rayex\include\base\Gui.hpp                                        | C++      |         29 |         41 |         12 |         82 |
| c:\Repos\rayex\include\base\Scene.hpp                                      | C++      |         80 |         39 |         46 |        165 |
| c:\Repos\rayex\include\base\Settings.hpp                                   | C++      |         61 |         40 |         34 |        135 |
| c:\Repos\rayex\include\base\Time.hpp                                       | C++      |         16 |         10 |          7 |         33 |
| c:\Repos\rayex\include\base\Window.hpp                                     | C++      |         36 |         35 |         19 |         90 |
| c:\Repos\rayex\include\external\ImGui\imconfig.h                           | C++      |          1 |         89 |         19 |        109 |
| c:\Repos\rayex\include\external\ImGui\imgui.h                              | C++      |      1,741 |        640 |        243 |      2,624 |
| c:\Repos\rayex\include\external\ImGui\imgui_impl_sdl.h                     | C++      |         11 |         15 |          6 |         32 |
| c:\Repos\rayex\include\external\ImGui\imgui_impl_vulkan.h                  | C++      |         69 |         42 |         17 |        128 |
| c:\Repos\rayex\include\external\ImGui\imgui_internal.h                     | C++      |      1,789 |        290 |        246 |      2,325 |
| c:\Repos\rayex\include\external\ImGui\imstb_rectpack.h                     | C++      |        340 |        224 |         76 |        640 |
| c:\Repos\rayex\include\external\ImGui\imstb_textedit.h                     | C++      |        799 |        459 |        160 |      1,418 |
| c:\Repos\rayex\include\external\ImGui\imstb_truetype.h                     | C++      |      3,369 |        971 |        564 |      4,904 |
| c:\Repos\rayex\include\external\glm\common.hpp                             | C++      |         97 |        389 |         54 |        540 |
| c:\Repos\rayex\include\external\glm\detail\_features.hpp                   | C++      |        110 |        185 |        100 |        395 |
| c:\Repos\rayex\include\external\glm\detail\_fixes.hpp                      | C++      |         16 |          5 |          7 |         28 |
| c:\Repos\rayex\include\external\glm\detail\_noise.hpp                      | C++      |         67 |          0 |         15 |         82 |
| c:\Repos\rayex\include\external\glm\detail\_swizzle.hpp                    | C++      |        704 |         55 |         46 |        805 |
| c:\Repos\rayex\include\external\glm\detail\_swizzle_func.hpp               | C++      |        648 |          0 |         35 |        683 |
| c:\Repos\rayex\include\external\glm\detail\_vectorize.hpp                  | C++      |        142 |          0 |         21 |        163 |
| c:\Repos\rayex\include\external\glm\detail\compute_common.hpp              | C++      |         43 |          1 |          7 |         51 |
| c:\Repos\rayex\include\external\glm\detail\compute_vector_relational.hpp   | C++      |         16 |         12 |          3 |         31 |
| c:\Repos\rayex\include\external\glm\detail\func_common.inl                 | C++      |        638 |         43 |        112 |        793 |
| c:\Repos\rayex\include\external\glm\detail\func_common_simd.inl            | C++      |        195 |         14 |         23 |        232 |
| c:\Repos\rayex\include\external\glm\detail\func_exponential.inl            | C++      |        123 |          9 |         21 |        153 |
| c:\Repos\rayex\include\external\glm\detail\func_exponential_simd.inl       | C++      |         30 |          2 |          6 |         38 |
| c:\Repos\rayex\include\external\glm\detail\func_geometric.inl              | C++      |        193 |         17 |         34 |        244 |
| c:\Repos\rayex\include\external\glm\detail\func_geometric_simd.inl         | C++      |        143 |          2 |         19 |        164 |
| c:\Repos\rayex\include\external\glm\detail\func_integer.inl                | C++      |        308 |         11 |         54 |        373 |
| c:\Repos\rayex\include\external\glm\detail\func_integer_simd.inl           | C++      |         52 |          0 |         14 |         66 |
| c:\Repos\rayex\include\external\glm\detail\func_matrix.inl                 | C++      |        347 |          0 |         52 |        399 |
| c:\Repos\rayex\include\external\glm\detail\func_matrix_simd.inl            | C++      |        191 |         24 |         35 |        250 |
| c:\Repos\rayex\include\external\glm\detail\func_packing.inl                | C++      |        144 |          2 |         44 |        190 |
| c:\Repos\rayex\include\external\glm\detail\func_packing_simd.inl           | C++      |          5 |          0 |          2 |          7 |
| c:\Repos\rayex\include\external\glm\detail\func_trigonometric.inl          | C++      |        145 |         14 |         39 |        198 |
| c:\Repos\rayex\include\external\glm\detail\func_trigonometric_simd.inl     | C++      |          0 |          0 |          1 |          1 |
| c:\Repos\rayex\include\external\glm\detail\func_vector_relational.inl      | C++      |         78 |          0 |         10 |         88 |
| c:\Repos\rayex\include\external\glm\detail\func_vector_relational_simd.inl | C++      |          5 |          0 |          2 |          7 |
| c:\Repos\rayex\include\external\glm\detail\glm.cpp                         | C++      |        198 |         17 |         49 |        264 |
| c:\Repos\rayex\include\external\glm\detail\qualifier.hpp                   | C++      |        196 |          1 |         34 |        231 |
| c:\Repos\rayex\include\external\glm\detail\setup.hpp                       | C++      |        861 |        108 |        167 |      1,136 |
| c:\Repos\rayex\include\external\glm\detail\type_float.hpp                  | C++      |         51 |          3 |         15 |         69 |
| c:\Repos\rayex\include\external\glm\detail\type_half.hpp                   | C++      |         11 |          0 |          6 |         17 |
| c:\Repos\rayex\include\external\glm\detail\type_half.inl                   | C++      |        121 |         80 |         41 |        242 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x2.hpp                 | C++      |        120 |         11 |         47 |        178 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x2.inl                 | C++      |        465 |          9 |         63 |        537 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x3.hpp                 | C++      |        107 |         11 |         42 |        160 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x3.inl                 | C++      |        445 |          9 |         57 |        511 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x4.hpp                 | C++      |        109 |         11 |         42 |        162 |
| c:\Repos\rayex\include\external\glm\detail\type_mat2x4.inl                 | C++      |        455 |          9 |         57 |        521 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x2.hpp                 | C++      |        114 |         11 |         43 |        168 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x2.inl                 | C++      |        467 |          9 |         57 |        533 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x3.hpp                 | C++      |        127 |         11 |         47 |        185 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x3.inl                 | C++      |        528 |          9 |         65 |        602 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x4.hpp                 | C++      |        114 |         11 |         42 |        167 |
| c:\Repos\rayex\include\external\glm\detail\type_mat3x4.inl                 | C++      |        513 |          9 |         57 |        579 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x2.hpp                 | C++      |        119 |         11 |         42 |        172 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x2.inl                 | C++      |        509 |          9 |         57 |        575 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x3.hpp                 | C++      |        119 |         11 |         42 |        172 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x3.inl                 | C++      |        533 |          9 |         57 |        599 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4.hpp                 | C++      |        132 |         11 |         47 |        190 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4.inl                 | C++      |        598 |         36 |         73 |        707 |
| c:\Repos\rayex\include\external\glm\detail\type_mat4x4_simd.inl            | C++      |          3 |          1 |          3 |          7 |
| c:\Repos\rayex\include\external\glm\detail\type_quat.hpp                   | C++      |        121 |         22 |         44 |        187 |
| c:\Repos\rayex\include\external\glm\detail\type_quat.inl                   | C++      |        321 |         29 |         59 |        409 |
| c:\Repos\rayex\include\external\glm\detail\type_quat_simd.inl              | C++      |        117 |         55 |         17 |        189 |
| c:\Repos\rayex\include\external\glm\detail\type_vec1.hpp                   | C++      |        194 |         47 |         68 |        309 |
