Date : 2020-12-10 17:43:29
Directory : c:\Repos\rayex
Total : 4640 files,  856127 codes, 59708 comments, 59332 blanks, all 975167 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| HTML         |      2,637 |    637,489 |     14,555 |     32,034 |    684,078 |
| C++          |        590 |    131,146 |     44,882 |     25,106 |    201,134 |
| XML          |        157 |     44,610 |         11 |        269 |     44,890 |
| JavaScript   |      1,240 |     38,711 |        194 |        379 |     39,284 |
| Markdown     |          3 |      1,823 |          0 |      1,111 |      2,934 |
| CSS          |          4 |      1,753 |         49 |        353 |      2,155 |
| CMake        |          1 |        453 |          0 |         41 |        494 |
| GLSL         |          6 |        120 |          9 |         32 |        161 |
| Shell Script |          1 |         12 |          3 |          6 |         21 |
| XSL          |          1 |         10 |          5 |          1 |         16 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |      4,640 |    856,127 |     59,708 |     59,332 |    975,167 |
| assets                                                                                                                                                     |          6 |        120 |          9 |         32 |        161 |
| assets\shaders                                                                                                                                             |          6 |        120 |          9 |         32 |        161 |
| docs                                                                                                                                                       |      4,042 |    724,354 |     14,817 |     34,139 |    773,310 |
| docs\html                                                                                                                                                  |      3,883 |    678,080 |     14,799 |     32,769 |    725,648 |
| docs\html\search                                                                                                                                           |        384 |      9,697 |      2,392 |        500 |     12,589 |
| docs\moxygen                                                                                                                                               |          2 |      1,769 |          0 |      1,097 |      2,866 |
| docs\xml                                                                                                                                                   |        155 |     44,491 |         15 |        266 |     44,772 |
| example                                                                                                                                                    |          6 |        598 |         15 |        152 |        765 |
| include                                                                                                                                                    |        553 |    100,227 |     39,641 |     20,303 |    160,171 |
| include\api                                                                                                                                                |         22 |        878 |        492 |        369 |      1,739 |
| include\api\buffers                                                                                                                                        |          4 |        235 |         73 |         81 |        389 |
| include\api\image                                                                                                                                          |          3 |         52 |         20 |         24 |         96 |
| include\api\pathtrace                                                                                                                                      |          2 |        113 |         41 |         42 |        196 |
| include\api\utility                                                                                                                                        |          4 |        127 |        206 |         74 |        407 |
| include\base                                                                                                                                               |          7 |        312 |        235 |        160 |        707 |
| include\external                                                                                                                                           |        521 |     98,935 |     38,870 |     19,744 |    157,549 |
| include\external\ImGui                                                                                                                                     |          8 |      8,119 |      2,730 |      1,331 |     12,180 |
| include\external\glm                                                                                                                                       |        419 |     39,762 |     12,909 |     10,108 |     62,779 |
| include\external\glm\detail                                                                                                                                |         61 |     16,884 |      1,101 |      3,025 |     21,010 |
| include\external\glm\ext                                                                                                                                   |        163 |      3,828 |      3,774 |      1,596 |      9,198 |
| include\external\glm\gtc                                                                                                                                   |         38 |      5,304 |      3,366 |      2,088 |     10,758 |
| include\external\glm\gtx                                                                                                                                   |        124 |     10,614 |      3,036 |      2,640 |     16,290 |
| include\external\glm\simd                                                                                                                                  |         10 |      1,419 |        383 |        313 |      2,115 |
| include\external\gltf                                                                                                                                      |          2 |     17,988 |      8,157 |      2,960 |     29,105 |
| include\external\ktx                                                                                                                                       |          2 |        603 |        890 |        151 |      1,644 |
| include\external\sdl2                                                                                                                                      |         86 |     22,769 |     12,193 |      3,706 |     38,668 |
| include\external\stb                                                                                                                                       |          2 |      7,408 |      1,513 |        988 |      9,909 |
| include\external\tinyLogger                                                                                                                                |          1 |        178 |         25 |         48 |        251 |
| include\external\tinyObj                                                                                                                                   |          1 |      2,108 |        453 |        452 |      3,013 |
| include\pch                                                                                                                                                |          1 |         34 |          1 |          4 |         39 |
| source                                                                                                                                                     |         32 |     30,774 |      5,226 |      4,692 |     40,692 |
| source\api                                                                                                                                                 |         17 |      2,873 |        272 |        744 |      3,889 |
| source\api\buffers                                                                                                                                         |          2 |        141 |          1 |         31 |        173 |
| source\api\image                                                                                                                                           |          3 |        187 |         47 |         49 |        283 |
| source\api\pathtrace                                                                                                                                       |          1 |        525 |         72 |        158 |        755 |
| source\api\utility                                                                                                                                         |          4 |      1,061 |         79 |        258 |      1,398 |
| source\base                                                                                                                                                |          7 |      1,090 |         46 |        293 |      1,429 |
| source\external                                                                                                                                            |          6 |     26,720 |      4,904 |      3,630 |     35,254 |
