"filename", "language", "C++", "comment", "blank", "total"
"c:\Repos\renderer\src\Renderer.cpp", "C++", 98, 0, 17, 115
"c:\Repos\renderer\src\Renderer.hpp", "C++", 33, 4, 11, 48
"c:\Repos\renderer\src\api\Api.cpp", "C++", 660, 54, 161, 875
"c:\Repos\renderer\src\api\Api.hpp", "C++", 97, 5, 17, 119
"c:\Repos\renderer\src\api\Components.cpp", "C++", 13, 0, 2, 15
"c:\Repos\renderer\src\api\Components.hpp", "C++", 16, 2, 4, 22
"c:\Repos\renderer\src\api\Instance.cpp", "C++", 90, 3, 21, 114
"c:\Repos\renderer\src\api\Instance.hpp", "C++", 19, 8, 7, 34
"c:\Repos\renderer\src\api\Model.cpp", "C++", 58, 0, 14, 72
"c:\Repos\renderer\src\api\Model.hpp", "C++", 77, 2, 23, 102
"c:\Repos\renderer\src\api\Pipeline.cpp", "C++", 188, 2, 36, 226
"c:\Repos\renderer\src\api\Pipeline.hpp", "C++", 65, 0, 9, 74
"c:\Repos\renderer\src\api\RenderPass.cpp", "C++", 34, 0, 6, 40
"c:\Repos\renderer\src\api\RenderPass.hpp", "C++", 19, 0, 8, 27
"c:\Repos\renderer\src\api\Shader.cpp", "C++", 67, 5, 19, 91
"c:\Repos\renderer\src\api\Shader.hpp", "C++", 31, 0, 9, 40
"c:\Repos\renderer\src\api\Surface.cpp", "C++", 61, 5, 13, 79
"c:\Repos\renderer\src\api\Surface.hpp", "C++", 27, 6, 9, 42
"c:\Repos\renderer\src\api\Swapchain.cpp", "C++", 92, 7, 25, 124
"c:\Repos\renderer\src\api\Swapchain.hpp", "C++", 31, 5, 10, 46
"c:\Repos\renderer\src\api\buffers\Buffer.cpp", "C++", 101, 10, 22, 133
"c:\Repos\renderer\src\api\buffers\Buffer.hpp", "C++", 55, 2, 16, 73
"c:\Repos\renderer\src\api\buffers\CommandBuffer.cpp", "C++", 62, 2, 15, 79
"c:\Repos\renderer\src\api\buffers\CommandBuffer.hpp", "C++", 41, 2, 14, 57
"c:\Repos\renderer\src\api\buffers\Framebuffer.cpp", "C++", 57, 0, 14, 71
"c:\Repos\renderer\src\api\buffers\Framebuffer.hpp", "C++", 32, 0, 10, 42
"c:\Repos\renderer\src\api\buffers\IndexBuffer.hpp", "C++", 83, 3, 22, 108
"c:\Repos\renderer\src\api\buffers\QueryPool.cpp", "C++", 38, 0, 8, 46
"c:\Repos\renderer\src\api\buffers\QueryPool.hpp", "C++", 29, 0, 8, 37
"c:\Repos\renderer\src\api\buffers\UniformBuffer.cpp", "C++", 48, 1, 13, 62
"c:\Repos\renderer\src\api\buffers\UniformBuffer.hpp", "C++", 36, 0, 11, 47
"c:\Repos\renderer\src\api\buffers\VertexBuffer.cpp", "C++", 40, 3, 10, 53
"c:\Repos\renderer\src\api\buffers\VertexBuffer.hpp", "C++", 33, 0, 8, 41
"c:\Repos\renderer\src\api\descriptors\DescriptorSet.cpp", "C++", 95, 3, 21, 119
"c:\Repos\renderer\src\api\descriptors\DescriptorSet.hpp", "C++", 51, 0, 14, 65
"c:\Repos\renderer\src\api\descriptors\DescriptorSetLayout.cpp", "C++", 47, 1, 12, 60
"c:\Repos\renderer\src\api\descriptors\DescriptorSetLayout.hpp", "C++", 29, 1, 11, 41
"c:\Repos\renderer\src\api\devices\Device.cpp", "C++", 80, 4, 23, 107
